                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3948,                 2.0315,                 1.0405,                0.69343,                0.33204,                0.35188,                0.20472,                 1.2388,                 1.3683,                0.96055,             0.00036084,             0.00036084,             0.00036084
                      2,                 1.1943,                0.93246,                0.97404,                0.73069,                0.34621,                0.38031,                0.22234,                   1.27,                0.91645,                0.96014,             0.00070222,             0.00070222,             0.00070222
                      3,                  1.168,                 0.8281,                 0.9611,                0.69799,                0.38904,                0.39991,                0.23017,                 1.1732,                0.86333,                0.95604,              0.0010143,              0.0010143,              0.0010143
                      4,                 1.1464,                0.78333,                0.93533,                0.85323,                0.39409,                0.45336,                0.26359,                 1.2187,                0.88019,                0.95823,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.1544,                0.76743,                0.95055,                0.79344,                0.35618,                0.43262,                0.24477,                  1.087,                0.79819,                0.92931,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.0965,                0.71435,                0.92075,                0.72505,                0.44612,                0.47967,                0.29658,                 1.0924,                0.72606,                0.92449,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.0986,                0.71573,                 0.9289,                0.67817,                0.39548,                 0.4444,                0.26637,                  1.157,                0.74886,                0.94347,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.0817,                0.67926,                0.93559,                0.75724,                0.44096,                0.48542,                0.30719,                 1.0791,                0.64866,                0.90534,             0.00084703,             0.00084703,             0.00084703
                      9,                  1.003,                0.66178,                0.90893,                0.68504,                 0.4605,                 0.4911,                0.30196,                 1.0809,                0.66849,                0.90256,             0.00080303,             0.00080303,             0.00080303
                     10,                0.98389,                0.65159,                0.90951,                0.71799,                 0.4492,                0.48717,                0.29426,                0.99806,                0.62543,                0.90064,             0.00075904,             0.00075904,             0.00075904
                     11,                0.96383,                0.61807,                 0.9015,                0.78411,                0.44005,                0.49959,                0.30003,                 1.0327,                0.61083,                0.90591,             0.00071504,             0.00071504,             0.00071504
                     12,                0.96996,                0.63173,                0.89049,                0.69367,                0.50094,                0.52814,                0.32289,                0.96608,                 0.6068,                0.88192,             0.00067104,             0.00067104,             0.00067104
                     13,                0.94615,                0.59913,                0.89113,                0.78184,                0.48868,                0.53761,                0.32672,                0.93256,                0.55982,                0.87482,             0.00062705,             0.00062705,             0.00062705
                     14,                0.94488,                0.58102,                0.89122,                0.81753,                0.45971,                0.52274,                0.32234,                0.93457,                0.57301,                 0.8822,             0.00058305,             0.00058305,             0.00058305
                     15,                0.88128,                0.54262,                0.87564,                0.78124,                0.51003,                0.57399,                0.34073,                0.91501,                0.57945,                0.87324,             0.00053906,             0.00053906,             0.00053906
                     16,                 0.9159,                0.58447,                0.85972,                0.77208,                0.48961,                0.54153,                0.32683,                0.99643,                0.61278,                0.88944,             0.00049506,             0.00049506,             0.00049506
                     17,                0.89192,                0.56559,                0.86872,                0.78178,                0.49731,                 0.5648,                0.32811,                0.95524,                0.60429,                0.88532,             0.00045107,             0.00045107,             0.00045107
                     18,                0.87602,                0.53666,                0.86218,                 0.7015,                0.48675,                0.53965,                0.32519,                0.94468,                0.60184,                0.87571,             0.00040707,             0.00040707,             0.00040707
                     19,                0.88378,                0.53744,                 0.8544,                0.74255,                0.50127,                0.53573,                0.32614,                0.93821,                0.57049,                0.87602,             0.00036307,             0.00036307,             0.00036307
                     20,                0.84664,                0.52288,                0.86346,                0.75406,                0.48317,                0.53104,                0.32398,                0.97356,                0.55951,                0.87801,             0.00031908,             0.00031908,             0.00031908
                     21,                0.83537,                0.51559,                0.85695,                0.77614,                0.48534,                0.54935,                0.34788,                0.90549,                0.53452,                0.86947,             0.00027508,             0.00027508,             0.00027508
                     22,                 0.8214,                0.50498,                0.85256,                0.79107,                0.49693,                0.55321,                0.34643,                0.92173,                0.54293,                0.86938,             0.00023109,             0.00023109,             0.00023109
                     23,                0.83594,                0.50769,                0.85156,                 0.8336,                0.49001,                0.56557,                0.35429,                0.87135,                0.52218,                0.86135,             0.00018709,             0.00018709,             0.00018709
                     24,                0.78751,                0.47695,                0.83712,                0.76847,                 0.5138,                0.56846,                0.35305,                0.84915,                0.50724,                0.85406,              0.0001431,              0.0001431,              0.0001431
                     25,                 0.7635,                0.45507,                0.84358,                0.86297,                0.50906,                0.59227,                0.36519,                0.85266,                0.49769,                0.86013,             9.9101e-05,             9.9101e-05,             9.9101e-05
